"Fighter","Stance","WT_Class","Date","Birthdate","Height_mean","Height_sum","Height_max","Height_min","Height_sd","Weight_mean","Weight_sum","Weight_max","Weight_min","Weight_sd","Reach_mean","Reach_sum","Reach_max","Reach_min","Reach_sd","Rnd_mean","Rnd_sum","Rnd_max","Rnd_min","Rnd_sd","SDBL_mean","SDBL_sum","SDBL_max","SDBL_min","SDBL_sd","SDB_A_mean","SDB_A_sum","SDB_A_max","SDB_A_min","SDB_A_sd","SDHL_mean","SDHL_sum","SDHL_max","SDHL_min","SDHL_sd","SDH_A_mean","SDH_A_sum","SDH_A_max","SDH_A_min","SDH_A_sd","SDLL_mean","SDLL_sum","SDLL_max","SDLL_min","SDLL_sd","SDL_A_mean","SDL_A_sum","SDL_A_max","SDL_A_min","SDL_A_sd","TSL_mean","TSL_sum","TSL_max","TSL_min","TSL_sd","TS_A_mean","TS_A_sum","TS_A_max","TS_A_min","TS_A_sd","SSL_mean","SSL_sum","SSL_max","SSL_min","SSL_sd","SS_A_mean","SS_A_sum","SS_A_max","SS_A_min","SS_A_sd","X.Total_Strikes_mean","X.Total_Strikes_sum","X.Total_Strikes_max","X.Total_Strikes_min","X.Total_Strikes_sd","KD_mean","KD_sum","KD_max","KD_min","KD_sd","X.BODY_mean","X.BODY_sum","X.BODY_max","X.BODY_min","X.BODY_sd","X.HEAD_mean","X.HEAD_sum","X.HEAD_max","X.HEAD_min","X.HEAD_sd","X.LEG_mean","X.LEG_sum","X.LEG_max","X.LEG_min","X.LEG_sd","SCBL_mean","SCBL_sum","SCBL_max","SCBL_min","SCBL_sd","SCB_A_mean","SCB_A_sum","SCB_A_max","SCB_A_min","SCB_A_sd","SCHL_mean","SCHL_sum","SCHL_max","SCHL_min","SCHL_sd","SCH_A_mean","SCH_A_sum","SCH_A_max","SCH_A_min","SCH_A_sd","SCLL_mean","SCLL_sum","SCLL_max","SCLL_min","SCLL_sd","SCL_A_mean","SCL_A_sum","SCL_A_max","SCL_A_min","SCL_A_sd","RV_mean","RV_sum","RV_max","RV_min","RV_sd","SR_mean","SR_sum","SR_max","SR_min","SR_sd","TDL_mean","TDL_sum","TDL_max","TDL_min","TDL_sd","TD_A_mean","TD_A_sum","TD_A_max","TD_A_min","TD_A_sd","TDS_mean","TDS_sum","TDS_max","TDS_min","TDS_sd","X.TK_ACC_mean","X.TK_ACC_sum","X.TK_ACC_max","X.TK_ACC_min","X.TK_ACC_sd","SGBL_mean","SGBL_sum","SGBL_max","SGBL_min","SGBL_sd","SGB_A_mean","SGB_A_sum","SGB_A_max","SGB_A_min","SGB_A_sd","SGHL_mean","SGHL_sum","SGHL_max","SGHL_min","SGHL_sd","SGH_A_mean","SGH_A_sum","SGH_A_max","SGH_A_min","SGH_A_sd","SGLL_mean","SGLL_sum","SGLL_max","SGLL_min","SGLL_sd","SGL_A_mean","SGL_A_sum","SGL_A_max","SGL_A_min","SGL_A_sd","AD_mean","AD_sum","AD_max","AD_min","AD_sd","ADTB_mean","ADTB_sum","ADTB_max","ADTB_min","ADTB_sd","ADHG_mean","ADHG_sum","ADHG_max","ADHG_min","ADHG_sd","ADTM_mean","ADTM_sum","ADTM_max","ADTM_min","ADTM_sd","ADTS_mean","ADTS_sum","ADTS_max","ADTS_min","ADTS_sd","SM_mean","SM_sum","SM_max","SM_min","SM_sd","Southpaw_Stance_mean","Southpaw_Stance_sum","Southpaw_Stance_max","Southpaw_Stance_min","Southpaw_Stance_sd","Orthodox_Stance_mean","Orthodox_Stance_sum","Orthodox_Stance_max","Orthodox_Stance_min","Orthodox_Stance_sd","Switch_Stance_mean","Switch_Stance_sum","Switch_Stance_max","Switch_Stance_min","Switch_Stance_sd","Time_Seconds_mean","Time_Seconds_sum","Time_Seconds_max","Time_Seconds_min","Time_Seconds_sd","Total_Fight_Time_Seconds_mean","Total_Fight_Time_Seconds_sum","Total_Fight_Time_Seconds_max","Total_Fight_Time_Seconds_min","Total_Fight_Time_Seconds_sd","Decision_Unanimous_mean","Decision_Unanimous_sum","Decision_Unanimous_max","Decision_Unanimous_min","Decision_Unanimous_sd","KO_TKO_mean","KO_TKO_sum","KO_TKO_max","KO_TKO_min","KO_TKO_sd","Submission_mean","Submission_sum","Submission_max","Submission_min","Submission_sd","Decision_Split_mean","Decision_Split_sum","Decision_Split_max","Decision_Split_min","Decision_Split_sd","No_Contest_mean","No_Contest_sum","No_Contest_max","No_Contest_min","No_Contest_sd","Draw_mean","Draw_sum","Draw_max","Draw_min","Draw_sd","Decision_Majority_mean","Decision_Majority_sum","Decision_Majority_max","Decision_Majority_min","Decision_Majority_sd","TKO_Doctors_Stoppage_mean","TKO_Doctors_Stoppage_sum","TKO_Doctors_Stoppage_max","TKO_Doctors_Stoppage_min","TKO_Doctors_Stoppage_sd","Africa_mean","Africa_sum","Africa_max","Africa_min","Africa_sd","Asia_mean","Asia_sum","Asia_max","Asia_min","Asia_sd","Europe_mean","Europe_sum","Europe_max","Europe_min","Europe_sd","North_America_mean","North_America_sum","North_America_max","North_America_min","North_America_sd","South_America_mean","South_America_sum","South_America_max","South_America_min","South_America_sd","Oceania_mean","Oceania_sum","Oceania_max","Oceania_min","Oceania_sd","X.Significant_Strikes_mean","X.Significant_Strikes_sum","X.Significant_Strikes_max","X.Significant_Strikes_min","X.Significant_Strikes_sd","X.Clinch_Body_Strikes_mean","X.Clinch_Body_Strikes_sum","X.Clinch_Body_Strikes_max","X.Clinch_Body_Strikes_min","X.Clinch_Body_Strikes_sd","X.Clinch_Head_Strikes_mean","X.Clinch_Head_Strikes_sum","X.Clinch_Head_Strikes_max","X.Clinch_Head_Strikes_min","X.Clinch_Head_Strikes_sd","X.Clinch_Leg_Strikes_mean","X.Clinch_Leg_Strikes_sum","X.Clinch_Leg_Strikes_max","X.Clinch_Leg_Strikes_min","X.Clinch_Leg_Strikes_sd","X.Ground_Body_Strikes_mean","X.Ground_Body_Strikes_sum","X.Ground_Body_Strikes_max","X.Ground_Body_Strikes_min","X.Ground_Body_Strikes_sd","X.Ground_Head_Strikes_mean","X.Ground_Head_Strikes_sum","X.Ground_Head_Strikes_max","X.Ground_Head_Strikes_min","X.Ground_Head_Strikes_sd","X.Ground_Leg_Strikes_mean","X.Ground_Leg_Strikes_sum","X.Ground_Leg_Strikes_max","X.Ground_Leg_Strikes_min","X.Ground_Leg_Strikes_sd","Results_mean","Results_sum","Results_max","Results_min","Results_sd"
"Dan Hooker","Orthodox","Lightweight",2016-09-17,1989-04-12,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,10,10,10,10,0,3,3,3,3,0,3,3,3,3,0,19,19,19,19,0,28,28,28,28,0,4,4,4,4,0,13,13,13,13,0,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,145,145,145,145,0,145,145,145,145,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dan Hooker","Orthodox","Lightweight",2017-03-04,1985-11-09,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,1,1,1,1,0,0,0,0,0,0,2,2,2,2,0,11,11,11,11,0,44,44,44,44,0,3,3,3,3,0,3,3,3,3,0,14,14,14,14,0,49,49,49,49,0,14,14,14,14,0,49,49,49,49,0,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,153,153,153,153,0,153,153,153,153,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dan Hooker","Orthodox","Lightweight",2017-07-22,1992-12-02,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,3,3,3,3,0,2,2,2,2,0,4,4,4,4,0,7,7,7,7,0,43,43,43,43,0,0,0,0,0,0,9,9,9,9,0,85,85,85,85,0,162,162,162,162,0,19,19,19,19,0,79,79,79,79,0,52,52,52,52,0,0,0,0,0,0,62,62,62,62,0,23,23,23,23,0,0,0,0,0,0,3,3,3,3,0,4,4,4,4,0,3,3,3,3,0,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,24,24,24,24,0,75,75,75,75,0,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0
"Dan Hooker","Orthodox","Lightweight",2019-06-08,1993-03-16,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,51,51,51,51,0,67,67,67,67,0,12,12,12,12,0,18,18,18,18,0,76,76,76,76,0,0,0,0,0,0,100,100,100,100,0,65,65,65,65,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,214,214,214,214,0,214,214,214,214,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,66,66,66,66,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66,66,0,0,0,0,0,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2020-08-08,1996-09-04,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,3,3,3,3,0,23,23,23,23,0,28,28,28,28,0,54,54,54,54,0,103,103,103,103,0,23,23,23,23,0,26,26,26,26,0,172,172,172,172,0,247,247,247,247,0,125,125,125,125,0,197,197,197,197,0,69,69,69,69,0,1,1,1,1,0,78,78,78,78,0,55,55,55,55,0,88,88,88,88,0,2,2,2,2,0,4,4,4,4,0,17,17,17,17,0,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,300,300,300,300,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,63,63,63,63,0,50,50,50,50,0,62,62,62,62,0,0,0,0,0,0,0,0,0,0,0,66,66,66,66,0,0,0,0,0,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2021-05-01,1991-01-10,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,3,3,3,3,0,17,17,17,17,0,21,21,21,21,0,19,19,19,19,0,90,90,90,90,0,19,19,19,19,0,23,23,23,23,0,177,177,177,177,0,261,261,261,261,0,73,73,73,73,0,153,153,153,153,0,67,67,67,67,0,0,0,0,0,0,84,84,84,84,0,27,27,27,27,0,83,83,83,83,0,8,8,8,8,0,9,9,9,9,0,6,6,6,6,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,47,47,47,47,0,88,88,88,88,0,100,100,100,100,0,0,0,0,0,0,100,100,100,100,0,100,100,100,100,0,100,100,100,100,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2021-06-05,1985-11-09,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,6,6,6,6,0,8,8,8,8,0,12,12,12,12,0,8,8,8,8,0,19,19,19,19,0,8,8,8,8,0,19,19,19,19,0,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,150,150,150,150,0,150,150,150,150,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dan Hooker","Orthodox","Lightweight",2021-10-30,1988-03-20,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,5,5,5,5,0,32,32,32,32,0,48,48,48,48,0,83,83,83,83,0,158,158,158,158,0,21,21,21,21,0,23,23,23,23,0,182,182,182,182,0,283,283,283,283,0,155,155,155,155,0,253,253,253,253,0,64,64,64,64,0,0,0,0,0,0,68,68,68,68,0,55,55,55,55,0,91,91,91,91,0,4,4,4,4,0,5,5,5,5,0,8,8,8,8,0,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,300,300,300,300,0,1500,1500,1500,1500,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,61,61,61,61,0,80,80,80,80,0,72,72,72,72,0,0,0,0,0,0,0,0,0,0,0,87,87,87,87,0,0,0,0,0,0,0,0,0,0,0
"Dan Hooker","Orthodox","Lightweight",2022-05-14,1985-01-12,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,1,1,1,1,0,0,0,0,0,0,3,3,3,3,0,10,10,10,10,0,21,21,21,21,0,9,9,9,9,0,14,14,14,14,0,22,22,22,22,0,41,41,41,41,0,22,22,22,22,0,41,41,41,41,0,53,53,53,53,0,1,1,1,1,0,0,0,0,0,0,54,54,54,54,0,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,153,153,153,153,0,153,153,153,153,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2022-06-25,1990-12-11,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,1,1,1,1,0,4,4,4,4,0,4,4,4,4,0,9,9,9,9,0,20,20,20,20,0,6,6,6,6,0,7,7,7,7,0,22,22,22,22,0,34,34,34,34,0,22,22,22,22,0,34,34,34,34,0,64,64,64,64,0,2,2,2,2,0,100,100,100,100,0,52,52,52,52,0,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,148,148,148,148,0,148,148,148,148,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2022-08-13,1989-04-12,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,42,42,42,42,0,642,642,642,642,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2023-02-11,1987-10-18,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,2,2,2,2,0,1,1,1,1,0,4,4,4,4,0,14,14,14,14,0,43,43,43,43,0,2,2,2,2,0,8,8,8,8,0,34,34,34,34,0,74,74,74,74,0,21,21,21,21,0,61,61,61,61,0,45,45,45,45,0,1,1,1,1,0,25,25,25,25,0,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,253,253,253,253,0,553,553,553,553,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,34,34,34,34,0,0,0,0,0,0,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,66,66,66,66,0,0,0,0,0,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2023-04-29,1993-01-16,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,3,3,3,3,0,6,6,6,6,0,12,12,12,12,0,47,47,47,47,0,144,144,144,144,0,23,23,23,23,0,26,26,26,26,0,104,104,104,104,0,213,213,213,213,0,98,98,98,98,0,207,207,207,207,0,48,48,48,48,0,1,1,1,1,0,54,54,54,54,0,40,40,40,40,0,88,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,21,21,21,21,0,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,300,300,300,300,0,900,900,900,900,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,47,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,87,87,87,87,0,0,0,0,0,0,1,1,1,1,0
"Dan Hooker","Orthodox","Lightweight",2023-06-24,1995-02-21,72,72,72,72,0,155,155,155,155,0,75,75,75,75,0,1,1,1,1,0,4,4,4,4,0,4,4,4,4,0,14,14,14,14,0,32,32,32,32,0,5,5,5,5,0,7,7,7,7,0,24,24,24,24,0,44,44,44,44,0,24,24,24,24,0,44,44,44,44,0,54,54,54,54,0,1,1,1,1,0,100,100,100,100,0,46,46,46,46,0,71,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,180,180,180,180,0,180,180,180,180,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,1,1,1,1,0
